,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,21.245,21.245,21.26,21.245,21.245,21.29,21.245,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.1666666666667,21.1666666666667,21.15,21.1,21.15,21.1,21.1,21.1,21.1,21.1,21.05,21.1,21.05,21.05,21.1,21.0,21.1,21.1,21.1,21.1,21.1
1,21.1,21.1,21.05,21.1,21.1,21.1,21.1,21.15,21.1,21.125,21.1333333333333,21.1,21.1,21.15,21.2,21.15,21.15,21.2,21.2,21.2,21.1333333333333,21.1666666666667,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.125,21.1,21.1,21.1,21.1,21.1,21.1,21.05
2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.05,21.05,21.0,21.033333333333303,21.05,21.05,21.1,21.05,21.0,21.1,21.1,21.033333333333303,21.075,21.033333333333303,21.1,21.1,21.1,21.1,21.1,21.1,21.05,21.1,21.05,21.0666666666667,21.1,21.033333333333303,21.025,21.0,21.0,21.0,21.0,21.0,21.0,21.0
3,21.0,21.0,21.0,21.0,21.0,21.0,20.945,20.963333333333303,20.89,20.926666666666698,21.0,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.926666666666698,20.89,20.89,20.926666666666698,20.945,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
4,21.0,21.0,21.0,20.89,20.945,21.0,20.89,20.89,20.89,20.89,20.89,20.856666666666698,20.89,20.89,20.89,20.89,20.89,20.84,20.89,20.89,20.856666666666698,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.856666666666698,20.89,20.89,20.865,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.945,21.0,20.945,20.945,20.926666666666698,20.89,20.89,20.945,20.89,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
5,20.89,20.9175,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.945,20.89,20.89,20.945,20.89,20.945,20.945,20.89,20.89,20.89,20.89,20.89,20.926666666666698,20.89,20.89,20.945,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.84,20.89,20.84,20.89,20.89,20.89,20.84,20.89,20.89
6,20.865,20.89,20.856666666666698,20.89,20.89,20.89,20.89,20.84,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.84,20.89,20.89,20.89,20.856666666666698,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.89,20.84,20.89,20.856666666666698,20.89,20.89,20.89,20.79,20.79,20.84,20.79,20.79,20.79,20.79,20.79,20.79,20.7,20.745,20.7,20.745,20.79,20.7,20.7,20.76,20.7,20.7
7,20.73,20.7,20.7,20.73,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7225,20.73,20.7225,20.7675,20.79,20.815,20.823333333333302,20.815,20.89,20.89,20.89,20.89,20.89,20.945,20.963333333333303,21.0,21.0
8,21.0,21.0,21.0,21.0,21.025,21.025,21.05,21.025,21.1,21.075,21.033333333333303,21.075,21.1,21.1,21.1,21.15,21.2,21.2,21.2,21.26,21.29,21.29,21.29,21.323333333333302,21.29,21.34,21.29,21.29,21.315,21.29,21.29,21.34,21.323333333333302,21.29,21.34,21.29,21.34,21.34,21.323333333333302,21.356666666666698,21.365,21.39,21.356666666666698,21.323333333333302,21.39,21.323333333333302,21.39,21.365,21.39,21.39,21.39,21.39,21.39,21.4175,21.39,21.445,21.463333333333303,21.5,21.5
9,21.5,21.5,21.5,21.5,21.525,21.55,21.6,21.6,21.7,21.7,21.7675,21.79,21.815,21.84,21.89,21.89,21.89,21.89,21.9175,21.963333333333303,22.0,22.0,22.0,22.0,22.025,22.05,22.0666666666667,22.0666666666667,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.125,22.1,22.1,22.1,22.1,22.1,22.1,22.075,22.075,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
